Estimated Calories,Protein (g),Fat (g),Carbs (g),Unmatched Ingredients,Item Name,Ingredients,Lean_Score_MCR,Energy_Score_MCR,Satiety_Score_MCR,Lean_Score_MCR_norm,Energy_Score_MCR_norm,Satiety_Score_MCR_norm,Macro_Cluster,Cluster_Label
976.0,33.7,30.1,144.8,,Spicy Pork Pepperoni,"Pork , Cheese , Flour , Tomato , Paprika",-0.05507172131147541,0.13294057377049182,-0.01366803278688525,0.1971504491577214,0.6964960253832548,0.30702433019845277,0,Energetic
867.0,48.3,24.6,116.0,,Sea Monster (Prawns),"Prawns , Cheese , Flour , Tomato ",-0.025374855824682813,0.11960784313725491,-0.011764705882352936,0.38533659352856897,0.6382725624616346,0.32075178827179357,2,Lean
1330.0,24.2,58.6,186.0,,Bookbar Chocolate Cake,"Chocolate , Flour , Sugar , Milk ",-0.0737593984962406,0.11781954887218045,0.0021052631578947403,0.07872845885668905,0.6304631580943141,0.42078684689737433,0,Energetic
532.0,15.7,8.67,97.8,baileys,Irish Bailey's Tiramisu,"Milk , Flour , Coffee , Baileys ",-0.07055451127819548,0.17568609022556392,-0.038853383458646605,0.09903751702902552,0.8831638626665745,0.12537878912733386,1,Energetic
1447.0,24.9,63.6,200.3,,Blueberry Ripple Cheesecake,"Blueberry , Cream Cheese , Flour , Sugar ",-0.07398064961990325,0.11644782308223911,0.0024257083621285406,0.07732641203399293,0.6244728903939989,0.4230980095754449,0,Energetic
1816.0,29.2,80.6,255.3,,Black Forest Cake,"Chocolate , Cherry , Flour , Sugar , Milk ",-0.07640418502202644,0.1183920704845815,0.002208149779735678,0.06196870422221562,0.6329633354239572,0.42152890113107744,0,Energetic
1148.0,26.5,48.77,151.8,,Vanilla Macaroons,"Vanilla , Flour , Sugar , Eggs ",-0.0642726480836237,0.11098867595818816,0.0028135888501742193,0.1388450722936494,0.6006330290104286,0.42589553906154354,0,Energetic
1535.0,31.4,60.2,222.1,,Coconut Macaroons,"Coconut , Flour , Sugar , Eggs ",-0.07149837133550489,0.1250814332247557,-0.00418892508143322,0.09305636776969711,0.6621754956472261,0.3753909640590973,0,Energetic
1496.0,30.5,66.2,200.5,,Blueberry Macaroons,"Blueberry , Flour , Sugar , Eggs ",-0.06874999999999999,0.11189839572192514,0.0040441176470588265,0.11047252925509182,0.6046057362067297,0.43477054231350604,0,Energetic
1138.0,26.8,48.77,151.3,,Coffee Macaroons,"Coffee , Flour , Sugar , Eggs ",-0.06435413005272408,0.11152460456942004,0.0029701230228471025,0.13832872899110238,0.6029734062732008,0.4270245181598242,0,Energetic
1153.0,27.1,48.9,156.7,,Lemon Macaroons,"Lemon , Flour , Sugar , Eggs ",-0.06565481352992193,0.11470078057241978,0.0016392020815264533,0.13008642447146918,0.6168436306728593,0.417425451716007,0,Energetic
1344.0,28.1,62.7,176.1,,Chocolate Macaroons,"Chocolate , Flour , Sugar , Eggs ",-0.06793154761904761,0.10770089285714286,0.007343750000000003,0.11565898228297339,0.5862754211997045,0.4585686427210495,0,Energetic
1188.0,27.7,49.4,163.3,,Raspberry Macaroons,"Raspberry , Flour , Sugar , Eggs ",-0.06620370370370371,0.11666666666666668,0.0003451178451178422,0.12660816089739008,0.6254285709424223,0.40809206444744656,0,Energetic
1827.0,51.4,104.5,185.1,,Pistachio Macaroons,"Pistachio , Flour , Sugar , Eggs ",-0.051122058018609744,0.07271483305966064,0.026803503010399566,0.22217908078141985,0.43349279838766985,0.5989191746931007,0,Energetic
1830.0,33.1,84.7,245.4,,Black Forest Macaroons,"Chocolate, Cherry , Flour , Sugar , Eggs ",-0.07210382513661201,0.11095628415300547,0.0060546448087431684,0.08921966599806752,0.6004915753862687,0.44927116606427286,0,Energetic
1175.0,27.0,49.5,159.1,,Salted Caramel Macaroons,"Salt, Caramel , Flour , Sugar , Eggs ",-0.06578723404255318,0.11434042553191488,0.001506382978723407,0.12924728857954249,0.6152699756642481,0.4164675139803895,0,Energetic
1222.0,28.2,48.9,172.9,,Orange Marmalade Macaroons,"Orange , Flour , Sugar , Eggs ",-0.06767594108019641,0.12148117839607203,-0.002430441898527004,0.1172787360257978,0.6464533372017767,0.38807375864816007,0,Energetic
